Title,Title_kana,Ryaku,Ryaku_kana
青の祓魔師,アオノエクソシスト,青エク,アオエク
蒼の彼方のフォーリズム,アオノカナタノフォーリズム,あおかな,アオカナ
青春ブタ野郎はバニーガール先輩の夢を見ない,セイシュンブタヤロウハバニーガールセンパイノユメヲミナイ,青ブタ,アオブタ
創世のアクエリオン,ソウセイノアクエリオン,アクエリ,アクエリ
甘城ブリリアントパーク,アマギブリリアントパーク,甘ブリ,アマブリ
あの日見た花の名前を僕達はまだ知らない。,アノヒミタハナノナマエヲボクタチハマダシラナイ,あの花,アノハナ
Get Ride! アムドライバー,ゲットライドアムドライバー,アムドラ,アムドラ
異世界はスマートフォンとともに。,イセカイハスマートフォントトモニ,イセスマ,イセスマ
いつか天魔の黒ウサギ,イツカテンマノクロウサギ,いつ天,イツテン
イナズマイレブン,イナズマイレブン,イナイレ,イナイレ
イナズマイレブンGO クロノ・ストーン,イナズマイレブンゴークロノストーン,イナクロ,イナクロ
いなり、こんこん、恋いろは。,イナリコンコンコイイロハ,いなこん,イナコン
犬とハサミは使いよう,イヌトハサミハツカイヨウ,犬ハサ,イヌハサ
妖狐×僕SS,イヌボクシークレットサービス,いぬぼく,イヌボク
俺が好きなのは妹だけど妹じゃない,オレガスキナノハイモウトダケドイモウトジャナイ,いもいも,イモイモ
妹さえいればいい。,イモウトサエイレバイイ,妹さえ,イモサエ
wooser,ウーサー,うーさー,ウーサー
うさぎドロップ,ウサギドロップ,うさドロ,ウサドロ
うしおととら,ウシオトトラ,うしとら,ウシトラ
うたの☆プリンスさまっ♪,ウタノプリンスサマッ,うたプリ,ウタプリ
うみねこのなく頃に,ウミネコノナクコロニ,うみねこ,ウミネコ
交響詩篇エウレカセブン,コウキョウシヘンエウレカセブン,エウレカ,エウレカ
おおきく振りかぶって,オオキクフリカブッテ,おお振り,オオフリ
お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,オニイチャンノコトナンカゼンゼンスキジャナインダカラネッ,おに好き,オチンコ
お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!,オニイチャンノコトナンカゼンゼンスキジャナインダカラネッ,兄好,オニスキ
処女はお姉さまに恋してる,オトメハボクニコイシテル,おとボク,オトボク
お兄ちゃんだけど愛さえあれば関係ないよねっ,オニイチャンダケドアイサエアレバカンケイナイヨネッ,おにあい,オニアイ
俺の妹がこんなに可愛いわけがない,オレノイモウトガコンナニカワイイワケガナイ,俺妹,オレイモ
俺の彼女と幼なじみが修羅場すぎる,オレノカノジョトオサナナジミガシュラバスギル,俺修羅,オレシュラ
俺、ツインテールになります。,オレツインテールニナリマス,俺ツイ,オレツイ
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,カグヤサマハコクラセタイテンサイタチノレンアイズノウセン,かぐ告,カグコク
カッコカワイイ宣言！,カッコカワイイセンゲン,カコカワ,カコカワ
